token,I,I_pct,tfidf,N,n_documents,eng_stopword
seem,-0.073,0.011,2.672,19,19.000,False
twice,-0.068,0.022,2.726,18,18.000,False
rapper,-0.064,0.034,2.784,17,17.000,False
weed,-0.060,0.045,2.844,16,16.000,False
future,-0.059,0.056,2.909,15,15.000,False
each,-0.052,0.067,3.052,13,13.000,True
bread,-0.048,0.078,3.132,12,12.000,False
memphis,-0.048,0.090,3.052,13,13.000,False
uncle,-0.047,0.101,3.132,12,12.000,False
sitting,-0.047,0.112,3.132,12,12.000,False
dinner,-0.046,0.123,3.132,12,12.000,False
finish,-0.046,0.134,3.219,11,11.000,False
album,-0.045,0.146,3.132,12,12.000,False
pretty,-0.044,0.157,3.219,11,11.000,False
thatll,-0.044,0.168,3.132,12,12.000,True
plane,-0.043,0.179,3.219,11,11.000,False
message,-0.042,0.190,3.314,10,10.000,False
mr,-0.042,0.202,3.219,11,11.000,False
hours,-0.042,0.213,3.314,10,10.000,False
throwin,-0.041,0.224,3.219,11,11.000,False
purple,-0.041,0.235,3.219,11,11.000,False
fashion,-0.041,0.246,3.314,10,10.000,False
prove,-0.040,0.258,3.314,10,10.000,False
ignore,-0.040,0.269,3.314,10,10.000,False
thoughts,-0.040,0.280,3.314,10,10.000,False
