token,I,I_pct,tfidf,N,n_documents,eng_stopword
won,4.310,99.854,117.952,21,1.000,True
own,3.282,99.541,5.480,127,43.000,True
yours,3.046,99.295,11.910,67,16.000,True
youd,2.191,98.231,8.874,34,12.000,True
youll,1.759,96.977,6.815,52,20.000,True
youve,1.703,96.865,6.043,63,25.000,True
doing,1.384,94.996,4.324,53,28.000,True
too,1.310,94.660,2.227,415,134.000,True
were,1.290,94.492,3.222,127,60.000,True
again,1.215,94.223,3.853,113,50.000,True
down,1.185,94.122,1.802,454,151.000,True
over,1.177,93.831,2.631,212,90.000,True
after,1.143,93.316,3.419,85,45.000,True
did,1.136,93.271,2.460,182,86.000,True
shes,1.060,92.801,4.700,49,25.000,True
she,1.048,92.734,2.729,482,131.000,True
about,1.029,92.600,1.774,319,132.000,True
no,0.974,89.834,1.725,693,177.000,True
where,0.963,89.722,1.725,294,129.000,True
am,0.950,89.633,3.151,142,65.000,True
through,0.948,89.610,2.355,202,93.000,True
more,0.943,89.588,1.868,251,116.000,True
under,0.936,89.420,4.042,33,21.000,True
why,0.922,89.084,2.123,250,109.000,True
he,0.882,88.849,2.457,198,90.000,True
