token,I,I_pct,tfidf,N,n_documents,eng_stopword
to,0.100,74.048,0.079,2946,273.000,True
you,0.193,75.358,0.138,5167,273.000,True
the,0.196,75.392,0.587,4694,266.000,True
and,0.181,74.922,0.393,2812,265.000,True
it,0.323,77.967,0.344,2460,265.000,True
me,0.261,76.556,0.577,2494,259.000,True
my,0.227,75.918,0.468,2023,259.000,True
that,0.205,75.459,0.466,1886,258.000,True
on,0.237,76.030,0.411,1562,257.000,True
im,0.367,78.627,0.662,2118,254.000,False
in,0.185,74.978,0.566,1633,252.000,True
know,0.433,80.307,0.624,1378,246.000,False
just,0.247,76.142,0.499,1018,244.000,True
for,0.397,79.825,0.624,1225,243.000,True
dont,0.383,79.109,0.550,1041,242.000,True
with,0.257,76.243,0.635,1081,239.000,True
but,0.172,74.832,0.605,905,235.000,True
like,0.371,78.639,0.990,1311,231.000,False
all,0.335,78.168,0.829,1008,228.000,True
of,0.380,78.829,0.806,981,228.000,True
up,0.411,80.038,0.838,992,227.000,True
its,0.529,82.859,0.827,953,226.000,True
got,0.321,77.944,0.837,890,223.000,False
yeah,0.625,84.136,1.311,1293,220.000,False
when,0.270,76.903,0.709,699,220.000,True
