album_name,album_id,song_id,song_name,release_date,album_type,lyrics
"Honestly, Nevermind",880669,8111078,Intro,2022,Studio album,
"Honestly, Nevermind",880669,8110883,Falling Back,2022,Studio album," Ayy, yo Ayy, ayy Oh  Finding myself Showing myself Finding a way to stay outta the way Holding me back Supposed to come right back Guardin myself while Im all on display I know you know all about it I know, deep down, you feel the same I know you know how I feel I know you know how I feel How do I, how do I feel? How do I feel? How do you say to my face, ""Time heals""? Then go and leave me again, unreal I see us fadin away Im still holdin my breath for the day that you will See that the effort I make is too real How can you say that you know how I feel? Ayy, whee How can you say you know what Im feeling? Wait Know what Im feeling, wait You dont feel nothing, wait Nothing is healing, wait Time is just killing, wait How can you say? Wait You know what Im feeling, wait Know what Im feeling, wait You dont feel nothing, wait Time isnt healing, wait Time is revealing, wait How are you feeling? Wait You dont feel nothing    Me Me  Just like I expected, falling back on me Falling with I, falling back on me Falling back on me, falling back on me Falling back on mе, falling back on me Falling back on me, falling back on me Falling back on mе, falling back on me Falling back on me, falling back on me Falling back on me Falling back on me, falling back on me Falling back on me, falling back on me Falling back on me, falling back on me Falling back on me, falling back on me What would you do without me? What would you do without me? I think you would lose everything Fallin back on me  Wherever you are, you dont test "
"Honestly, Nevermind",880669,8110884,Texts Go Green,2022,Studio album," If I come around you, can I be myself? Wind up in the mirror just to see yourself If I was in your shoes, I would hate myself Left all this behind to be with someone else, oh Why should I fake it anymore? If I firm the ting and work that can you take it anymore? This time I have left, cannot be wasted anymore You realize it now and you miss it  Texts go green, it hits a little different, dont it? Know you miss the days when I was grippin on it Know youre in a house tonight just thinkin on it I moved on so long ago  I moved on so long ago Youre still thinking bout me, though, oh Im still tryna make sensе of it all Youre still saying things to keep me involved Posеd to let me know how you feel, now what to do? It shouldnt take a text from me to speak your truth, rough  Youre dealing with me rough I know you like it rough But this might be too much Youre dealing with me rough I know you like it rough But this might be too much But this might be too much for me    Dodging girls on the scene and girls from my dreams Well, dont wanna make something from nothing, thats where I be Well, keep getting nothing from something, hows that fair to me? Im thinking something for something, thats what I need Im too behind in a race to rush for my lead Im not rushing you, trust me, Im Im the last person that needs to rush anything, wait I feel like everything these days leads to nothing, wait I feel like everything these days leads to nothing Its clear that we all get lonely, then you call me All I needed from you was to hold me down when things arent working For some reason, I believed in you  Texts go green, it hits a little different, dont it? Know you missed the days when I was grippin on it Know youre in a house tonight just thinkin on it I moved on so long ago  So long ago I cant even remember when we lost each other Was it last year? This year? Or some other? Been so long since you said things that cover up the lies We can do it this time Just have some faith, we can do it this time Your favorite thing to say, ""We can do it this time"" Just have some faith, we can do it this time Been dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me rough Youre dealing with me Oh "
"Honestly, Nevermind",880669,8110885,Currents,2022,Studio album," Dont think twice Were still in formation Testing the current Already Im sailing, its all so sudden Catching a flight You think were moving too fast, Im Intoxicated We can move in slow motion if thats what you want, babe  I dont want to come on too strong But Im moving to your rhythm  With every move, with every move you make, babe Im tumbling  In your own time Would you show me something please, babe? Dont wanna wait in vain Youre the missing piece I, I been longing for Dont deny, oh no The temperatures rising inside The cracks are showing Show me all your colors, I may not deserve you    I dont want to come on too strong But Im moving to your rhythm  With every move, with every move you make, babe Im tumbling "
"Honestly, Nevermind",880669,8110886,A Keeper,2022,Studio album," Okay, okay Okay, okay I found a new muse Thats bad news for you Why would I keep you around? Why would I keep you around? Why would I keep you around? Why would I keep? I found a new muse Thats bad news for you Why would I keep you around? Why would I keep you around? Why would I keep you around? Why would I keep?  Yeah, woah, yeah And I wrote, licks I hit on my ones when I didnt have no friends to ride Sticks on my dawgs, and I cant even lie to you Got too much pride for you Gotta stay safe in these streets Streets dont play favorites, though Im not afraid of it though God is okay with me, so Life of that shade that you throw Ive seen you take it low Limbo right under that ho Fuck out my face    I found a new muse Thats bad news for you Why would I keep you around? Why would I keep you around? Why would I keep you around? Why would I keep? I found a new muse Thats bad news for you Why would I keep you around? Why would I keep you around? Why would I keep you around? Why would I keep?  Once is a lot of things Twice is a decision Told me a lot of things Forced into submission, got you Mercedеs-Benz But that dont make you driven Thеn what can I do for you? How can I make a difference? Friendship and loyalty, thats not what its giving Given that, why would I keep you around?  Why would I keep you around? Why would I keep you around? Why would I keep you around? Why would I keep? Okay, okay Okay, okay "
"Honestly, Nevermind",880669,8110887,Calling My Name,2022,Studio album," Ayy Ayy  Mmm, what do I want? Why is it so hard giving you up? Im countin the days til you come Im countin the ways to make you Mmm, what do I want? Why is it so hard giving you up? Im countin the days til you come Im countin the ways to make you  Youre my water, my refresher Take off your clothes, relieve pressure I need your touch when Im with her My heart, it beats different rhythm  Killa cut, blood Killa cut, blood Killa cut, blood Killa cut, blood    Your pussy is calling my name So come on, baby, lets stop playing games Your pussy is calling my name So come on, baby, lets stop playing games  Your pussy is calling my name So come on, baby, lets stop playing games Your pussy is calling my name So come on, baby, lets stop playing games, games "
"Honestly, Nevermind",880669,8110888,Sticky,2022,Studio album," Ayy Homer hanging on my neck The bracelet matches the set My brother named his ting Nadal Lets stop all that back and forth over the net My mama wish I woulda went corporate She wish I woulda went exec I still turn to a CEO so the lifestyle she respect Ayy, two sprinters to Quebec Chérie, où est mon bec? They only givin niggas plus ones, so I never pull up to the Met You know I gotta bring the set You know I gotta bring the G-Block You know I gotta bring the D-Block  Causе you know how sticky it get (Ayy) You know how sticky it get (Ayy) You know how sticky it get (Ayy) You know how sticky it gеt (Ayy) She want me to play with that cat (Ayy) She lovin how Im makin her wet (Ayy) You know how sticky it get (Ayy)  Ayo Eric, bring them girls to the stage Cause somebodys getting paid and Free Big Slime out the cage and Shawty try to play it cool but Now she wish she woulda stayed cause Every song that I made is Ringin like I got engaged (Yeah) Love my guys, I wouldnt trade (Ayy) From the cradle to the grave (Ayy) Gordo got me on the wave (Ayy) Ant got me on the wave (Ayy) Couple hits, now you brave, boy You niggas better behave (What) All that pumpin up your chest (What) All that talk about the best (What) You know how sticky it gets    Yeah If Im with two of em, then its a threesome If she alone, you know she a freak one If its an escort, its a police one King of the hill, you know its a steep one If we together, you know its a brief one Back in the ocean you go, its a— Its a deep one Forgave niggas in they feelings, lucky for yall, we dont do civilians You say I changed, I say that I millioned, I did The toughest act to follows back on tour Off-road Maybach, Pyrex trap Virgil came back through the boy, damn Thats somethin to me, niggas really had they back turned to me I aint talkin my assistant when I say niggas down to pack somethin for me Then they thought they had the trap set for me How you really think that went for me? Niggas gotta do a fact check for me When everything is put to rest And everybody takes a breath And everything gets addressed Its you alone with your regrets All that pumpin up your chest All that talk about the best You know how sticky it gets Like, we werent supposed to come up with something this clean Like something happened1 "
"Honestly, Nevermind",880669,8110892,Massive,2022,Studio album," Ive been alone in my thoughts Cant fill this void between us I cannot stand losin you, woah, woah All these feelings intertwined, oh Fighting the urge to reach out And my stance remains unchanged, baby I cant help it, Im so into you  Oh, when youre ready We can put this behind us Baby, we can find us again, I know Put this behind us We can find us again Cause I dont wanna go I was alone, I was alone in this world And I needed people I know my funeral gon be lit cause of how I treated people I dont wanna go, I dont wanna  Swervin between emotions I know we got real issues Cant give in so еasily, woah, woah Woah, woah, woah, woah Aint going out with no fight, no Im just tryna play my part, yeah Im not ready to let go, woah, woah    Oh, whеn youre ready We can put this behind us Baby, we can find us again, I know Put this behind us We can find us again Cause I dont wanna go I was alone, I was alone in this world And I needed people I know my funeral gon be lit cause of how I treated people I dont wanna go, I dont wanna4 "
"Honestly, Nevermind",880669,8110894,Flight's Booked,2022,Studio album," Getting late Why you gotta be Beside me Watching, needing, wanting me Im afraid, dont be Im afraid, dont be Im afraid, dont be Im afraid, dont be Im afraid Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont— Dont— , be—, dont—  Lilah I know its getting late And Im struggling to let go Although theres distance between us Theres no place Id rather be Owe you some hospitality And it comes so naturally Promise I just need some more time If you can bear with me    When last did we feel this closе together? Chasing sunsets in California Dont makе me wait, babe, its been forever Dont take forever Its been forever Dont take forever Its been forever  Trust me, Im starting to realize And look beyond my fears Sun keeps on turning to twilight Baby, we dont have long I cant keep my hands off you All night, all my love You say its getting too late Baby, dont be afraid  When last did we feel this close together? Chasing sunsets in California Dont make me wait, babe, its been forever Dont take forever Its been forever Dont take forever Its been forever Giddy up, girl, best I can do Go follow where the wind blows, mmm Sometimes, we all feel hollow My heart, girl, you can borrow, mmm Please dont make this song about you Please dont make this song about you Please dont make this song about you Please dont make this song about you "
"Honestly, Nevermind",880669,8110895,Overdrive,2022,Studio album," Hold the line, we aint done Dont give up this divine bond between us The tide is high, nothings lost Could turn over a new leaf, for my love, oh A broken frame, and I know Its pictures of jealousy You dont believe me When I show you often Were sacrificing some time Why all this in overdrive With you beside me, I become unraveled And you can see right through me No, we cant go down like this You are afraid to be fully open Though you can see all my cards My hеart is in overdrive  My heart is racing I cannot slow down and its bothеring me How forward of me would it be to tell you to forward to me You should be right here anyways Your energys calling for me Theres deeper places we can go Dont have to just party with me I hope we can make it I hope we can make it I hope we can make it, oh, oh I hope we can make it I hope we can make it I hope we can make it, oh    Hold the line, we aint done Dont give up this divine bond between us Im hanging on, but you dont see Its a phase well overcome, my love, oh The tide is high, and I know Its just waves of jealousy Me and you, jealousy You dont believe me When I show you often Were sacrificing some time Why all this in overdrive With you beside me, I become unraveled And you can see right through me No, we cant go down like this You are afraid to be fully open Though you can see all my cards My heart is in overdrive "
