,F,I,tfidf,H,H-tilde,H-tilde_std,N
000,1.453646836501072e-05,-0.003999999999999226,4.923623917106626,1.0,0.9960000000000008,0.06311893535223174,2
05,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
06,2.907293673002144e-05,-0.006999999999998119,4.230476736546681,2.0,1.9930000000000019,0.058745212570868614,4
07,3.6341170912526803e-05,-0.011999999999968924,4.007333185232471,2.321928094887362,2.3099280948873933,0.06823488843597604,5
09,3.6341170912526803e-05,-0.01830195500083409,4.007333185232471,2.321928094887362,2.303626139886528,0.08963121585516418,5
10,8.721881019006432e-05,0.6245408520829279,4.559395360440469,2.9182958340544896,3.5428366861374174,0.08167930717467517,12
100,5.0877639277537524e-05,1.4062857142857286,10.542370554329745,1.3787834934861756,2.785069207771904,0.07767856321808077,7
101,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
1017,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
11,2.180470254751608e-05,-0.012000000000001787,4.518158808998462,1.584962500721156,1.5729625007211543,0.08863407922492868,3
12,2.907293673002144e-05,-0.010999999999998122,4.230476736546681,2.0,1.9890000000000019,0.07334166619321761,4
13,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
14,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
15,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
150,1.453646836501072e-05,-0.003999999999999226,4.923623917106626,1.0,0.9960000000000008,0.06311893535223174,2
1503,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
15th,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
16,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
17,4.360940509503216e-05,-0.02399999999998803,3.8250116284385163,2.584962500721156,2.560962500721168,0.08616263691373129,6
18,1.453646836501072e-05,-0.0029999999999992255,4.923623917106626,1.0,0.9970000000000008,0.05469003565549385,2
19,2.180470254751608e-05,-0.007333333333334746,4.518158808998462,1.584962500721156,1.5776291673878213,0.06953496322830036,3
1942,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
1991,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
1998,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
1da,5.0877639277537524e-05,0.26332073035684544,4.4625135665116025,2.5216406363433186,2.784961366700164,0.07851125753163991,7
1kembed,2.180470254751608e-05,-0.008000000000001117,4.518158808998462,1.584962500721156,1.576962500721155,0.07259017380735784,3
1s,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
20,3.6341170912526803e-05,0.3840000000000314,5.288095920683351,1.9219280948873623,2.3059280948873937,0.07838367176825672,5
2008,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
2010,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
2016,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
2017,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
2018,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
2022,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
20s,4.360940509503216e-05,0.6433333333333469,6.345715104820021,1.9182958340544896,2.5616291673878364,0.08504900548066484,6
21,0.00017443762038012864,3.136216755257586,19.23519928911586,1.3563429881688323,4.492559743426418,0.08549516882136615,24
22,7.995057600755896e-05,2.979320551033754,27.079931544086445,0.43949698692151307,3.418817537955267,0.08542644729821648,11
23,2.180470254751608e-05,-0.006666666666667931,4.518158808998462,1.584962500721156,1.5782958340544881,0.0663324958074826,3
23s,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
24,2.907293673002144e-05,-0.015999999999998238,4.230476736546681,2.0,1.9840000000000018,0.08799999999998849,4
25,1.453646836501072e-05,0.9960000000000008,11.233542195333143,0.0,0.9960000000000008,0.06311893535223174,2
26,1.453646836501072e-05,-0.0029999999999992255,4.923623917106626,1.0,0.9970000000000008,0.05469003565549385,2
27,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
28,1.453646836501072e-05,-0.0019999999999992246,4.923623917106626,1.0,0.9980000000000008,0.04467661580736863,2
281,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
30,2.907293673002144e-05,-0.006999999999998341,4.230476736546681,2.0,1.9930000000000017,0.058745212570872396,4
305,2.907293673002144e-05,1.171721875540869,9.847247834213253,0.8112781244591329,1.9830000000000019,0.09061456836512287,4
31st,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
32,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
325,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
33rd,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
35,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
360,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
38,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
3s,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
40,0.00013809644946760185,0.0296145624982751,2.8778659697576514,4.142664355548848,4.172278918047123,0.0860079728445175,19
401,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
42,4.360940509503216e-05,1.3133333333333483,9.036317617996923,1.2516291673878228,2.564962500721171,0.08055363982337868,6
4201,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4301,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
44,3.6341170912526803e-05,2.302728094887393,28.08385548833286,0.0,2.302728094887393,0.08550649098093198,5
45,1.453646836501072e-05,-0.0029999999999992255,4.923623917106626,1.0,0.9970000000000008,0.05469003565549385,2
47,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4am,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4in,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4kembed,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4l,1.453646836501072e-05,-0.006999999999999229,4.923623917106626,1.0,0.9930000000000008,0.08337265738837442,2
4s,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
4th,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
50,5.814587346004288e-05,0.9719999999999955,6.411733096371954,2.0,2.9719999999999955,0.08195120499519368,8
500,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
