token,I,I_pct,tfidf,N,n_documents,eng_stopword
preach,5.822,100.000,182.174,74,2.000,False
sexy,5.146,99.989,57.111,54,4.000,False
fancy,4.792,99.978,58.736,39,3.000,False
ay,4.779,99.966,45.478,43,4.000,False
aye,4.673,99.955,58.169,55,4.000,False
dedicate,4.618,99.944,52.712,35,3.000,False
fireworks,4.492,99.933,134.803,24,1.000,False
woop,4.489,99.922,134.803,24,1.000,False
gangstas,4.486,99.910,134.803,24,1.000,False
tri,4.485,99.899,134.803,24,1.000,False
hannenin,4.476,99.888,68.931,28,2.000,False
tryin,4.455,99.877,11.595,101,22.000,False
houstatlantavegas,4.311,99.866,117.952,21,1.000,False
won,4.310,99.854,117.952,21,1.000,True
faded,4.249,99.843,27.856,63,8.000,False
falling,4.175,99.832,56.622,23,2.000,False
wishin,4.098,99.821,30.671,29,4.000,False
brea,4.022,99.810,95.485,17,1.000,False
controlla,4.022,99.798,95.485,17,1.000,False
brand,3.777,99.787,14.631,50,11.000,False
nails,3.752,99.776,25.383,24,4.000,False
account,3.751,99.765,25.383,24,4.000,False
leaving,3.697,99.754,41.851,17,2.000,False
dollar,3.677,99.742,18.488,29,6.000,False
grammy,3.666,99.731,24.325,23,4.000,False
